veliplanchiste,"{véliplanchiste} n. m. et f.\nPersonne qui fait de la planche à voile."												
vexatoire,"adj.\nQui a le caractère d'une vexation. Des manoeuvres vexatoires. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : vexatoire."												
vexer,"v. tr., pronom.\n Transitif. Blesser, contrarier. Il ne veut pas vous vexer.\n Pronominal. Se fâcher, se formaliser. Elles se sont vexées de ces sourires entendus."												
v.g.,"Abréviation de verbi gratia qui signifie ""par exemple"". \nNote.- Il est préférable d'utiliser l'abréviation p. ex. plutôt que les abréviations latines v.g. (verbi gratia) et e.g. (exempli gratia) qu'on réservera aux textes anglais."												
via,"prép.\nPar. Destination Bastia via Nice."												
viabiliser,"v. tr.\nExécuter les travaux destinés à rendre un terrain habitable. Ces lots sont viabilisés."												
viabilité,"n. f.\n État d'une voie de circulation où l'on peut rouler.\n Aptitude à vivre d'un organisme.\n Caractère viable de quelque chose."												
viable,"adj.\n Qui peut vivre. Ce nouveau-né est viable.\n Qu'on peut mener à bien, qui peut aboutir. Le projet est-il viable?"												
viaduc,"n. m.\nVoie surélevée. \nNote.- Attention à l'orthographe : viaduc. \nAnt. tunnel."												
viager,", ère  adj. et n. m.\n Adjectif. Qui dure pendant la vie d'une personne et qui s'éteint à la mort. Une rente viagère.\n Nom masculin. Rente viagère."												
viande,"n. f.\nChair des animaux qui sert à la nourriture. Elle préfère la viande blanche à la viande rouge."												
vibraphone,"n. m.\nInstrument de musique composé de lames d'acier frappées à l'aide de marteaux."												
vibraphoniste,"n. m. et f.\nMusicien qui joue du vibraphone."												
vibrateur,"n. m.\nAppareil qui produit des vibrations mécaniques."												
vibratile,"adj.\nAnimé de mouvements vibratoires. Des cils vibratiles. \nNotes.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : vibratile."												
vibration,"n. f.\nMouvement oscillatoire. Des vibrations sonores."												
vibratoire,"adj.\nConstitué d'une suite de vibrations. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : vibratoire."												
vibrer,"v. tr., intr.\n Transitif Modifier un corps par des vibrations. Vibrer du béton.\n Intransitif \n- Être touché, ému. Vibrer à l'écoute d'un hymne.\n- Résonner, produire des vibrations. Une cloche qui vibre.\n Émouvoir, toucher. Des élans oratoires qui la faisaient vibrer."												
vibromasseur,"n. m.\nAppareil qui masse en faisant vibrer. \nNote.- Attention à l'orthographe : vibromasseur, en un seul mot."												
vicaire,"n. m.\nPrêtre adjoint au curé dans une paroisse."												
vice,"n. m.\n Défaut, disposition au mal.\n Défaut qui altère gravement la constitution d'une chose. Un vice de construction.\nNote.- Ne pas confondre avec les mots suivants: \n- défaut, imperfection	\n- malfaçon, défaut de fabrication	\n- travers, défaut léger, bizarrerie.\nHom. vis, tige filetée."										
vice-,"préf. inv.\n Préfixe invariable qui précède certaines désignations de fonctions exercées en second, en l'absence de quelqu'un. Une vice-présidente, un vice-doyen.\n Les titres composés avec le préfixe vice- s'écrivent avec un trait d'union et seul le deuxième élément prend la marque du pluriel."												
vice-consul,"n. m.\nPersonne qui agit comme consul dans un endroit où il n'y a pas de consul. Des vice-consuls."												
vice-présidence,"n. f.\nFonction de vice-président, de vice-présidente. Des vice-présidences prestigieuses."												
vice-président,"n. m. \nvice-présidente n. f.\n Personne qui peut remplacer le président, en son absence.\n Personne au sommet de la hiérarchie après le président dans une entreprise, un organisme. L'association sportive a deux vice-présidents. Des vice-présidentes."												
vice versa,"loc. adv.\n Réciproquement. Disposer un carreau noir, puis un carreau blanc et vice versa.\nNote.- Attention à l'orthographe: vice versa."												
vichy,"n. m.\n Toile à petits carreaux. Une robe de vichy.\n Eau minérale de la station thermale de Vichy. Boire des vichys.\nNote.- Le nom du tissu, de l'eau minérale s'écrit avec une minuscule, tandis que le nom de la ville s'écrit avec une majuscule. Une vichy, mais une eau de Vichy."												
vicier,"v. tr.\n Redoublement du i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous viciions, (que) vous viciiez.\n (Litt.) Corrompre. Ces vapeurs toxiques vicient l'atmosphère. Il faudrait aérer, l'air est vicié."												
vicieux,", ieuse  adj.\n Dépravé, pervers.\n Cercle vicieux. Raisonnement faux, qui tourne en rond."												
vicinal,", ale, aux  adj.\nSe dit d'un petit chemin qui relie des villages. Des chemins vicinaux."												
vicissitudes,"n. f. pl.\n(Litt.) Succession de situations différentes, heureuses ou malheureuses. Les vicissitudes de l'existence. \nNote.- Attention à l'orthographe: vicissitudes."												
vicomte,"n. m. \nvicomtesse n. f.\nTitre de noblesse qui vient avant celui de baron. \nNote.- Attention à l'orthographe: vicomte."												
vicomté,"n. f.\nTerre d'une seigneurerie appartenant à un vicomte. \nNote.- Attention au genre féminin de ce nom: une vicomté."												
victime,"n. f.\n Personne qui souffre des agissements d'autrui, d'événements malheureux, ou par sa propre faute. Il a été victime de son imprudence.\n Personne tuée ou blessée. La route a fait plusieurs victimes au cours des derniers jours."												
victoire,"n. f.\n Succès militaire, sportif, etc. Ils ont remporté la victoire.\n Crier, chanter victoire. Se glorifier d'un succès."												
victorien,", ienne  adj.\nRelatif au règne de la reine Victoria. De magnifiques maisons victoriennes."												
victorieusement,"adv.\nD'une manière victorieuse."												
victorieux,", ieuse  adj.\n Vainqueur. L'armée victorieuse.\n Qui exprime un succès. Air victorieux.\nNote.- L'adjectif féminin sert également de forme féminine à l'adjectif vainqueur."												
victuailles,"n. f. pl.\nVivres, provisions. Il se chargera des victuailles."												
vidange,"n. f.\n Action de vidanger un réservoir. Faire la vidange d'huile.\n (Au plur.) Immondices."												
vidanger,"v. tr.\n Le g est suivi d'un e devant les lettres a et o. Il vidangea, nous vidangeons.\n Vider un réservoir pour le nettoyer."												
vidangeur,"n. m.\nPersonne qui fait la vidange de certains réservoirs."												
vide,"adj. et n. m.\n Adjectif \n- Qui ne contient rien. Une enveloppe vide. Un bureau vide.\n- Dépourvu (d'idées, de sentiments). Une citation vide de sens.\n- Désert. Un restaurant vide.\n Nom masculin \n- Espace qui ne contient pas d'air. Faire le vide dans un contenant.\n- Espace sans objet. Regarder dans le vide.\n- Vacuité. Le vide de son existence.\n- Sentiment de privation. Votre absence laissera un grand vide."												
video,"{vidéo} adj. inv. et n. f.\n Adjectif invariable. Qui est relatif à l'enregistrement et à la reproduction de l'image et du son sur un écran de visualisation. Des cassettes vidéo, des écrans vidéo, une bande vidéo, des jeux vidéo.\n Nom féminin. Ensemble des techniques vidéo."												
video-,"{vidéo-} préf.\n Mot latin signifiant ""je vois"".\n Les mots composés du préfixe vidéo- s'écrivent en un seul mot. Vidéocassette."												
videocassette,"{vidéocassette} n. f.\nCassette servant à l'enregistrement et à la reproduction de l'image et du son."												
videoclip,"{vidéoclip} n. m.\n(Anglicisme) Court film vidéo destiné à faire la promotion d'une chanson. Les enfants raffolent des vidéoclips. \nNote.- L'expression bande vidéo promotionnelle a fait l'objet d'une recommandation officielle pour remplacer cet anglicisme. \nSyn. clip."												
videodisque,"{vidéodisque} n. m.\nDisque qui permet de reproduire le son et l'image."												
vide-ordures,"n. m. inv.\n Conduit où l'on peut jeter des ordures ménagères, dans un immeuble.\n Ouverture de ce conduit."												
vide-poches,"n. m. inv.\nPetit réceptacle où l'on dépose de menus articles. Des vide-poches pratiques."												
vider,"v. tr., pronom.\n Transitif \n- Rendre vide. Vider un pichet.\n- Vider les lieux. Partir d'un endroit.\n- (Fam.) Épuiser. Cet effort soutenu l'a vidé.\n Pronominal Se désemplir. Les rues se sont vidées très rapidement."												
vie,"n. f.\n Fait d'être vivant, existence. Ils sont toujours en vie.\n Espace qui s'écoule entre la naissance d'une personne et sa mort. Elle a eu une vie heureuse.\n Vitalité, animation. Cette discussion est pleine de vie.\n Ne pas donner signe de vie. Ne pas donner de ses nouvelles.\n À vie, locution adverbiale. Pour toute la durée de la vie. Ce président est nommé à vie.\n En vie, locution adverbiale. Vivant.\n Jamais de la vie. En aucune manière, jamais."												
vieil,"V. vieux."												
vieillard,"n. m.\nHomme âgé. \nNote.- La forme féminine vieillarde est rare et péjorative."												
vieillerie,"n. f.\nObjet usé, ancien. Ce ne sont que des vieilleries."												
vieillesse,"n. f.\n Dernière période de la vie normale.\n État d'une personne âgée."												
vieilli,", ie  adj.\n Qui est âgé.\n Désuet, qui n'est plus usité, en parlant d'un mot, d'une expression, d'une construction. Le mot vertu au sens de ""chasteté"" est vieilli."												
vieillir,"v. tr., intr., pronom.\n Transitif Rendre vieux, faire paraître vieux. Cette coiffure la vieillit.\n Intransitif \n- Devenir vieux. Il n'a pas vieilli du tout.\n- Devenir démodé, perdre de son actualité. Ce sujet n'a pas vieilli, il est toujours d'intérêt.\nNote.- Le verbe se conjugue avec l'auxiliaire avoir pour marquer l'action, avec l'auxiliaire être pour marquer l'état. Elle a bien vieilli au cours de ces dernières années. Comme il est vieilli aujourd'hui!\n Pronominal Se faire paraître, se dire plus vieux qu'on ne l'est en réalité."												
vieillissement,"n. m.\nFait de prendre de l'âge."												
vieillot,", otte  adj.\nDémodé, suranné. Des tenues vieillottes."												
vierge,"adj. et n. f.\n Adjectif \n- Qui n'a jamais eu de relations sexuelles.\n- Qui est intact. Une feuille vierge, un casier judiciaire vierge.\n- Qui n'a jamais été exploité. Une terre vierge.\n Nom féminin \n- Femme qui a conservé son intégrité physique.\n- La Sainte Vierge, la Vierge. La Vierge Marie.\nNote.- En ce sens, le nom s'écrit avec une majuscule.\n- Nom d'une constellation, d'un signe du zodiaque.\nNote.- Les noms d'astres s'écrivent avec une majuscule. Elle est (du signe de la) Vierge, elle est née entre le 23 août et le 22 septembre. \nV. astre."												
vietnamien,", ienne  adj. et n. m. et f.\n Adjectif et nom masculin et féminin. Du Vietnam.\n Nom masculin. Langue parlée par les Vietnamiens.\nNote.- Lorsqu'il s'agit de la langue, l'adjectif ou le nom s'écrit avec une minuscule. Si le nom désigne une personne, la majuscule s'impose."												
vieux,"ou vieil, vieille adj.\n Qui est avancé en âge. Ce monsieur est très vieux. Un vieil arbre.\nNote.- Placé avant un nom qui commence par une voyelle ou un h muet, l'adjectif masculin s'orthographie vieil.\n Ancien. Une vieille maison. Le vieux Nice."												
vif,", vive  adj. et n. m.\n Adjectif \n- Agile, vigoureux, rapide. Une imagination vive, marcher à pas vifs.\n- Vivant. Ils ont été brûlés vifs, elles ont été brûlées vives.\nNote.- En ce sens, l'adjectif ne s'emploie que dans certaines locutions figées.\n- Éclatant, lumineux. Des rouges vifs, des couleurs vives.\n- Grand. Un vif succès, sa vive reconnaissance.\n- De vive voix. En personne.\n Nom masculin \n- Point essentiel. Entrer dans le vif du sujet.\n- Point sensible. Elles ont été piquées au vif."												
vigie,"n. f.\nMatelot chargé d'observer du haut d'un mât ou à l'avant d'un bateau. \nNote.- Attention au genre féminin de ce nom, même s'il désigne un homme: une vigie."												
vigilance,"n. f.\nSurveillance. Les enfants ont trompé sa vigilance."												
vigilant,", ante  adj.\nAttentif, soigneux. Des réviseurs vigilants."												
vigile,"n. m. et f.\n Nom masculin. Surveillant.\nNote.- Attention au genre masculin de ce nom: un vigile.\n Nom féminin. Veille de certaines fêtes religieuses (Noël, la Pentecôte, Pâques, etc.)."												
vigne,"n. f.\n Arbuste dont le fruit est le raisin. Un pied de vigne.\n Plantation de vignes."												
vigneron,"n. m. \nvigneronne n. f.\nPersonne qui se consacre à la culture de la vigne et à la production du vin. \nNote.- Ne pas confondre avec le mot vignoble qui désigne une plantation de vignes. \nSyn. viticulteur."												
vignette,"n. f.\nTimbre certifiant le paiement de certains droits. Vignette automobile. Coller les vignettes des médicaments sur sa feuille de maladie."												
vignoble,"n. m.\nPlantation de vignes. \nNote.- Ne pas confondre avec le mot vigneron qui désigne une personne qui cultive la vigne."												
vigogne,"n. f.\nMammifère ruminant voisin du lama dont on utilise la laine fine."												
vigoureusement,"adv.\nAvec vigueur. Il astiquait vigoureusement sa cuisine."												
vigoureux,", euse  adj.\nFort, énergique. Des efforts vigoureux."												
vigueur,"n. f.\nForce, énergie."												
viking,"adj. et n. m. et f.\nRelatif aux Vikings. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule."												
vil,", vile  adj.\n (Litt.) Abject, méprisable.\n À vil prix. Au-dessous de sa valeur."												
vilain,", aine  adj.\n Désagréable, mauvais. Il a fait un vilain temps.\n Méprisable. Une vilaine pensée.\nNote.- Cet adjectif se place généralement avant le nom."												
vilainement,"adv.\nD'une manière vilaine. \nNote.- Attention à l'orthographe: vilainement."												
vilebrequin,"n. m.\n Outil servant à faire des trous.\nNote.- Attention à l'orthographe: vilebrequin."												
vilenie,"n. f.\n (Litt.) Infamie.\nNote.- Attention à l'orthographe: vilenie."												
vilipender,"v. tr.\n(Litt.) Traiter avec mépris, bafouer. \nNote.- Ne pas confondre avec les verbes suivants: \n- décrier, déprécier avec force, faire perdre la réputation, l'autorité	\n- dénigrer, chercher à diminuer la valeur d'une personne, d'une chose	\n- diffamer, porter atteinte à la réputation	\n- discréditer, souiller la réputation en dépréciant ou en diffamant.\nNote.- Attention à l'orthographe: vilipender."									
villa,"n. f.\nMaison de campagne avec un jardin. Des villas au bord de la mer."												
village,"n. m.\nAgglomération rurale."												
villageois,", oise  n. m. et f.\nHabitant d'un village. \nNote.- Attention à l'orthographe: villageois."												
ville,"n. f.\n Agglomération importante. Les villes de New York, de Paris. \nNote.- Les noms génériques des toponymes (ville, village, etc.) s'écrivent avec une minuscule.\nNote.- Le nom qui désigne l'administration urbaine (notion administrative) s'écrit avec une majuscule. La ville de Paris compte plus de huit millions d'habitants. La Ville de Paris a entrepris des travaux de réfection de la chaussée.\n Ensemble des habitants d'une agglomération urbaine. Toute la ville en parle.\nGenre des noms de villes Le genre des noms de villes est souvent établi en fonction de la terminaison. Les noms de villes qui se terminent par un e sont généralement féminins. Il est à remarquer toutefois que l'usage est flottant. Ainsi, on écrit la Rome éternelle, mais le vieux Nice. Marseille est tantôt féminin, tantôt masculin. Par contre, Paris est toujours du genre masculin et Alger, de genre féminin. On observe une tendance marquée à rendre masculins tous les noms de villes."												
villégiature,"n. f.\nSéjour à la campagne, à la montagne, à la mer. \nNote.- Attention à l'orthographe: villégiature."												
vin,"n. m.\nBoisson obtenue par la fermentation du raisin. Un bon vin blanc bien frais. Un vin mousseux. \nNotes.- \n1  Les noms de vins qui viennent de toponymes s'écrivent avec une minuscule. Du bordeaux, du bourgogne, un champagne, un côtes-du-rhône, un bon muscadet, un sauternes.\n2  Les noms simples prennent la marque du pluriel. Des bourgognes, des champagnes, des muscadets. Par contre, les noms composés restent invariables. Des pouilly-fumé, des château-lafite.\nHom.: \n- vain, inutile	\n- vingt, dix-neuf plus un."											
vinaigre,"n. m.\nCondiment provenant d'un vin fermenté."												
vinaigrer,"v. tr.\nAssaisonner avec du vinaigre."												
vinaigrette,"n. f.\nAssaisonnement fait d'huile et de vinaigre pour la salade, les crudités, etc."												
vindicatif,", ive  adj.\nQui est rancunier, porté à la vengeance."												
vindicativement,"adv.\nD'une manière vindicative."												
vingt,"adj. et n. m. inv.\n La lettre g est toujours muette. Le t ne se prononce pas devant une consonne, il se prononce devant une voyelle ou un h muet. Vin(gt) corbeaux, vin(g)t arbres, vin(g)t hôpitaux. Dans les adjectifs numéraux composés, le t se prononce toujours. Vin(g)t-quatre.\n Adjectif numéral cardinal invariable. Dix-neuf plus un. Vingt heures.\nNotes.- \n1  L'adjectif numéral prend la marque du pluriel s'il est multiplié par un nombre et s'il n'est pas suivi d'un autre adjectif de nombre. Quatre-vingts feuilles, quatre-vingt-huit francs. Attention aux mots million, milliard qui ne sont pas des adjectifs numéraux, mais des noms. Quatre-vingts millions. Précédé de cent ou de mille, l'adjectif numéral est toujours invariable. Cent vingt personnes.\n2  Dans les adjectifs numéraux composés, le trait d'union s'emploie seulement entre les éléments qui sont l'un et l'autre inférieurs à cent, sauf si ces éléments sont joints par la conjonction et. Cent quatre-vingts. Vingt et un. Vingt-cinq.\n Adjectif numéral ordinal invariable. Vingtième. Le vingt décembre. En mil neuf cent quatre-vingt.\nNote.- L'adjectif numéral ordinal est invariable.\n Nom masculin invariable. Nombre vingt. Des vingt en lettres géantes.\nHom.: \n- vain, inutile	\n- vin, boisson."											
vingtaine,"n. f.\nQuantité approximative de vingt. Une vingtaine d'invités seront présents. \nNote.- Après ce collectif suivi d'un nom pluriel, le verbe se met généralement au pluriel."												
vingtième,"adj. et n. m. et f.\n Adjectif numéral ordinal. Nombre ordinal de vingt. La vingtième heure.\n Nom masculin. La vingtième partie d'un tout. Les trois vingtièmes d'une quantité.\n Nom masculin et féminin. Personne, chose qui occupe la vingtième place. Elles sont les vingtièmes."												
vingtièmement,"adv.\nEn vingtième lieu."												
vinicole,"adj.\nRelatif à la production du vin. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin: vinicole."												
vinyle,"n. m.\nProduit chimique servant à la fabrication de matières plastiques et de textiles artificiels. \nNote.- Attention à l'orthographe: vinyle."												
viol,"n. m.\n Action de posséder une personne contre sa volonté.\n Fait de violer, de profaner un lieu. Le viol d'une sépulture.\nHom. viole, ancien instrument de musique."												
violacé,", ée  adj.\nQui est légèrement violet. Des lueurs violacées."												
violation,"n. f.\n Transgression. La violation de la loi peut avoir de graves conséquences.\n Dérogation. La violation du secret professionnel, des frontières, des eaux territoriales."												
viole,"n. f.\nAncien instrument de musique. \nHom. viol, action de posséder une personne contre sa volonté."												
violemment,"adv.\nAvec violence. \nNote.- Attention à l'orthographe: violemment."												
violence,"n. f.\n Brutalité, contrainte. Vol avec violence.\n Se faire violence. S'imposer de faire quelque chose.\n Puissance. La violence du vent était telle que des toits ont été emportés."												
violent,", ente  adj.\n Brutal, coléreux. Des gestes violents.\n Fort, intense. Des vents violents, une violente tempête."												
violenter,"v. tr.\nContraindre par la violence, la force."												
violer,"v. tr.\n Transgresser. Il a violé la loi.\n Profaner un lieu. La tombe du pharaon a été violée.\n Posséder une personne contre sa volonté."												
violet,", ette  adj. et n. m.\n Adjectif de couleur variable. D'une couleur intermédiaire entre le rouge et le bleu. Des velours violets. Une teinte violette. \n Nom masculin. Couleur violette. Des violets épiscopaux."												
violette,"n. f.\nPlante donnant de petites fleurs odorantes."												
violeur,", euse  n. m. et f.\nPersonne qui a commis un viol."												
violon,"n. m.\n Instrument de musique à cordes que l'on fait vibrer à l'aide d'un archet.\n Violoniste. Il est premier violon dans un orchestre.\nNote.- Attention à l'orthographe: violon."												
violoncelle,"n. m.\nInstrument de musique à cordes, plus grand et de son plus grave que le violon. \nNote.- Attention à l'orthographe: violoncelle."												
violoncelliste,"n. m. et f.\nMusicien qui joue du violoncelle. \nNote.- Attention à l'orthographe: violoncelliste."												
violoniste,"n. m. et f.\nMusicien qui joue du violon. \nNote.- Attention à l'orthographe: violoniste."												
V.I.P.," Sigle de Very Important Person.\n (Anglicisme) (Fam.) Personnalité de marque."												
vipere,"{vipère} n. f.\n Serpent venimeux.\n (Fig.) Personne malveillante. C'est une langue de vipère.\nNote.- Attention à l'orthographe: vipère."												
virage,"n. m.\n Endroit où une route décrit une courbe. Ce chemin de montagne est plein de virages. Un virage en épingle à cheveux.\n Changement d'orientation d'un véhicule. Cet automobiliste a pris le virage trop vite, il a dérapé.\n (Fig.) Changement de direction (d'une pensée, d'un parti, etc.). Un virage à droite."												
virago,"n. f.\nFemme qui a les allures d'un homme. Des viragos brutales."												
viral,", ale, aux  adj.\nQui se rapporte à un virus. Des maladies virales."												
viree,"{virée} n. f.\n(Fam.) Tour, promenade. Faire une virée en ville."												
virement,"n. m.\n Transfert de fonds d'un compte à un autre. Faire des virements bancaires.\n Virement automatique. Opération consistant à déposer directement sur le compte d'une personne une somme, son salaire, des prestations.\nNote.- Attention à l'orthographe: virement."												
virer,"v. tr., intr.\n Transitif \n- Faire passer des fonds d'un compte à un autre. Surquel compte désirez-vous virer la somme?\n- (Fam.) Congédier. Ils ont été virés sans ménagement.\n Intransitif \n- Avancer en tournant, en parlant d'un véhicule. Virez à gauche à la prochaine intersection.\n- Changer de nuance. Ce vert a légèrement viré."												
virevolte,"n. f.\n Tour que fait une personne sur elle-même.\n Changement brusque d'opinion.\nNote.- Attention à l'orthographe: virevolte, en un seul mot."												
virevolter,"v. intr.\nTourner rapidement sur soi. Les papillons virevoltaient en tous sens."												
virginal,", ale, aux  adj.\nPur. Des aspects virginaux. Un blanc virginal."												
virginité,"n. f.\n Pureté.\n (Litt.) Caractère de ce qui est pur.\n État de celui ou celle qui n'a jamais eu de relations sexuelles."												
virgule,"n. f.\nSigne de ponctuation Signe qui sert à séparer divers éléments d'une phrase. La virgule marque un temps d'arrêt, une pause légère dans la phrase. Elle facilite la compréhension d'un texte en permettant, d'une part, des distinctions sémantiques et en structurant, d'autre part, l'organisation des différents mots ou groupes de mots à l'intérieur d'une proposition ou de plusieurs propositions dans la phrase. Emplois \n Séparation des termes d'une énumération. Des pivoines, des lilas et des roses.\n Séparation des propositions de même nature, des subordonnées qui précèdent les principales, etc. Ils s'étaient tous réunis, ils chantaient, ils mangeaient. Puisqu'il fait beau, nous partons à la campagne.\n Apposition, apostrophe. Madame Laforêt, directrice générale, sera présente.\nNote.- Lorsque la virgule encadre un mot, une expression à valeur explicative, elle est utilisée avec une autre virgule qui sert à fermer la parenthèse.\n Devant certaines conjonctions ou locutions conjonctives. Cette personne fait un travail remarquable, mais elle devra s'absenter sous peu. Signe décimal Signe qui sépare la partie entière et la partie décimale d'un nombre. 15,5 kilomètres. \nNote.- La virgule décimale s'écrit sans espace	 si le nombre est inférieur à l'unité, la virgule décimale est précédée d'un zéro. 0,75."											
viril,", ile  adj.\nRelatif à l'homme, au mâle. Une voix virile."												
virilement,"adv.\nD'une manière virile."												
virilité,"n. f.\nCaractère viril."												
virologie,"n. f.\nSpécialité médicale qui traite des virus."												
virologiste,"ou virologue n. m. et f.\nSpécialiste de la virologie."												
virtuel,", elle  adj.\nQui est en puissance, potentiel. La forme ingénieure est un féminin virtuel du nom ingénieur."												
virtuellement,"adv.\n En puissance.\n Selon toute probabilité. Cette entreprise est virtuellement celle à qui le marché sera attribué."												
virtuose,"adj. et n. m. et f.\nArtiste extrêmement habile et doué. C'est un virtuose du piano, une virtuose du violon. \nNote.- Attention à l'orthographe: virtuose, sans accent."												
virulence,"n. f.\nViolence. La virulence d'une critique. \nNote.- Attention à l'orthographe: virulence."												
virulent,", ente  adj.\n Nocif et violent. Un poison virulent.\n Mordant et violent. Des diatribes virulentes contre le gouvernement.\nNote.- Attention à l'orthographe: virulent."												
virus,"n. m.\n Organisme microscopique agent de la contagion. Le virus de la grippe."												
vis,"n. f.\n Tige filetée qui se fixe sans écrou.\nNote.- Ne pas confondre avec les mots suivants: \n- boulon, dispositif de fixation composé d'une tige et d'un écrou	\n- écrou, pièce filetée qui complète un boulon.\nHom. vice, défaut."											
visa,"n. m.\nFormule accompagnée d'un sceau, d'une signature apposée sur un document pour le rendre valide. Des visas obligatoires pour entrer dans ces pays."												
visage,"n. m.\n Partie antérieure de la tête. De frais visages d'enfants. L'émotion et la joie se lisaient sur son visage. \nSyn. face, figure.\n Expression du visage. Un visage radieux.\n Aspect d'une chose. Le vrai visage de la justice.\nNote.- Par rapport aux noms visage et figure, le nom face est plus littéraire et s'emploie en parlant de Dieu ou dans le domaine médical."												
visagiste,"n. m. et f.\nPersonne spécialisée dans l'art de mettre en valeur la beauté du visage par le maquillage, la coiffure, etc."												
vis-à-vis,"adv., n. m. et loc. prép.\n Adverbe Devant. Il habite vis-à-vis.\n Nom masculin. Personne qui est en face d'une autre à table. Je parlais avec mon vis-à-vis.\n Locutions prépositives \n- En face de. L'école est vis-à-vis de la bibliothèque. \nNote.- Le mot vis-à-vis se construit avec la préposition de.\n- (Fam.) À l'égard de. Cette personne a mal agi vis-à-vis de notre collègue. \nNote.- Dans un style soutenu, on préférera envers, à l'égard de."												
viscéral,", ale, aux  adj.\n Relatif aux viscères. Des troubles viscéraux.\n (Fig.) Profond. Une angoisse viscérale."												
viscère,"n. m. (gén. pl.)\nOrgane de l'abdomen, du thorax. \nNote.- Attention au genre masculin de ce nom: un viscère."												
viscose,"n. f.\nCellulose servant à la fabrication de textiles synthétiques."												
viscosité,"n. f.\nÉtat de ce qui est visqueux."												
visee,"{visée} n. f.\n Action de viser.\n (Fig.) Dessein, but. Des visées expansionnistes."												
viser,"v. tr., intr.\n Transitif \n- Pointer une arme, un objet en direction d'un but, d'une cible. Il avait visé le panier et il a réussi. Viser un canard sauvage. \nNote.- Le complément du verbe qui désigne la partie visée se construit avec la préposition à. Elle visa à la nuque.\n- Tenter d'atteindre. Elle vise la présidence, rien de moins.\n- Concerner. Cette remarque vise l'ensemble du personnel.\n- Apposer un visa. Son passeport a été visé.\n Transitif indirect Avoir en vue un objectif. Elles visent à la réussite. \nNote.- Cette construction est de style plus soutenu que la construction avec le complément d'objet direct.\n Intransitif Diriger quelque chose vers un point. Tu as mal visé."												
visibilité,"n. f.\n Qualité de ce qui est visible à l'oeil.\n Transparence de l'atmosphère. Aujourd'hui la visibilité est excellente, on peut apercevoir les montagnes au loin."												
visible,"adj. et n. m.\n Adjectif \n- Qui peut être vu. Cette étoile est visible à l'oeil nu.\n- Manifeste, évident. C'est avec une satisfaction bien visible qu'il apprit la nouvelle.\n Nom masculin Ensemble des choses, telles qu'elles se voient. Le visible et l'invisible."												
visiblement,"adv.\nManifestement. Ils étaient visiblement émus."												
visière,"n. f.\nPartie d'une coiffure qui fait saillie pour protéger le front et les yeux."												
vision,"n. f.\n Perception par l'organe de la vue	 vue. Un champ de vision.\n Façon de concevoir quelque chose. Une vision simpliste de la situation.\n Hallucination. Elle a des visions maintenant."											
visionnaire,"adj. et n. m. et f.\n Qui a des visions. Un poète visionnaire.\n Qui pressent le futur, l'évolution. Jules Verne était un visionnaire.\nNote.- Attention à l'orthographe: visionnaire."												
visionner,"v. tr.\n Regarder un film, des diapositives, etc. Ils visionnent les diapositives de leur dernier voyage.\n Examiner sur un écran de visualisation.\nNote.- Attention à l'orthographe: visionner."												
visionneuse,"n. f.\nAppareil servant à visionner un film, des diapositives, etc. \nNote.- Attention à l'orthographe: visionneuse."												
visite,"n. f.\n Action d'aller voir. La visite de la ville, la visite d'un ami, des visites médicales.\n Carte de visite. Petit carton comportant le nom d'une personne ainsi que certains renseignements utiles. Des cartes de visite.\nNote.- Le complément demeure au singulier."												
visiter,"v. tr.\n Parcourir un lieu. Visiter un musée, un pays étranger.\n Aller voir. Le chirurgien visite ses patients tous les jours."												
visiteur,", euse  n. m. et f.\n Touriste. Nous avons beaucoup de visiteurs américains au cours de l'été.\n Personne qui fait une visite."												
vison,"n. m.\n Mammifère carnassier dont la fourrure est très appréciée. Un manteau de vison noir.\n (Par ext.) Vêtement de vison. Un magnifique vison."												
visqueux,", euse  adj.\nPoisseux. \nNote.- Attention à l'orthographe: visqueux."												
visser,"v. tr.\n Fixer avec des vis. Ces tablettes doivent être vissées solidement.\n Fermer à l'aide d'un couvercle muni d'un pas de vis. Vissez bien le bouchon de cette bouteille.\nNote.- Attention à l'orthographe: visser."												
visualisation,"n. f.\n(Inform.) Affichage de données alphanumériques ou graphiques sur un écran."												
visualiser,"v. tr.\n Rendre visible quelque chose qui ne l'est pas. Ce graphique nous aide à visualiser l'évolution de la situation. nous aide à visualiser le problème.\n (Inform.) Afficher des données à l'écran."												
visu (de),"V. de visu."												
visuel,", elle  adj. et n. m.\n Adjectif. Relatif à la vue. La mémoire visuelle.\n Nom masculin. (Inform.) Écran de visualisation."												
visuellement,"adv.\nAu moyen de la vue."												
vital,", ale, aux  adj.\n Qui constitue la vie. Des points vitaux, des signes vitaux.\n Essentiel. Ces données sont vitales pour nous."												
